Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Dyspnea,4/188,5.304157410164595E-4,0.0030149947384093484,0,0,10.638297872340425,80.2324408712782,TGFB1;MTHFR;HLA-DRB1;SOD1
Muscle Weakness,5/339,5.491666225213217E-4,0.003119774315687601,0,0,7.374631268436578,55.36215826431995,TGFB1;MTHFR;HLA-DRB1;INS;SOD1
Insulin Resistance,3/81,5.675162160009338E-4,0.0032221544603449896,0,0,18.518518518518515,138.41187471418468,AHR;TNF;INS
Primary immune deficiency disorder,3/81,5.675162160009338E-4,0.0032202940940283934,0,0,18.518518518518515,138.41187471418468,STAT1;IL1B;TLR4
Refractory anemia with excess blasts in transformation (clinical),2/18,5.847441918510701E-4,0.0033161372865045105,0,0,55.55555555555555,413.57422695854274,IL6;TNF
Residual Cancer,2/18,5.847441918510701E-4,0.003314224865924058,0,0,55.55555555555555,413.57422695854274,HIF1A;IL2
Sexually Transmitted Diseases,2/18,5.847441918510701E-4,0.0033123146498630065,0,0,55.55555555555555,413.57422695854274,CXCL10;IL1B
Small intestine biopsy shows villous atrophy,2/18,5.847441918510701E-4,0.003310406634511703,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Stenosis,2/18,5.847441918510701E-4,0.0033085008160692667,0,0,55.55555555555555,413.57422695854274,TGFB1;TLR4
Tactile Amnesia,2/18,5.847441918510701E-4,0.003306597190743565,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Temporary Amnesia,2/18,5.847441918510701E-4,0.0033046957547511885,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Thymus Hyperplasia,2/18,5.847441918510701E-4,0.003302796504317423,0,0,55.55555555555555,413.57422695854274,HMGB1;HLA-DRB1
Tobacco Use Disorder,2/18,5.847441918510701E-4,0.00330089943567623,0,0,55.55555555555555,413.57422695854274,IL6;AHR
Tooth Loss,2/18,5.847441918510701E-4,0.0032990045450702163,0,0,55.55555555555555,413.57422695854274,VDR;IL1B
Variable degree of villous atrophy,2/18,5.847441918510701E-4,0.0032971118287506117,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Villous atrophy,2/18,5.847441918510701E-4,0.003295221282977246,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Villous atrophy of intestine,2/18,5.847441918510701E-4,0.0032933329040185193,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Vitamin B 12 Deficiency,2/18,5.847441918510701E-4,0.003291446688151384,0,0,55.55555555555555,413.57422695854274,MTHFR;FUT2
Amnestic State,2/18,5.847441918510701E-4,0.0032895626316613146,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Biopsy shows villous atrophy,2/18,5.847441918510701E-4,0.0032876807308422863,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Canarypox (disorder),2/18,5.847441918510701E-4,0.0032858009819967506,0,0,55.55555555555555,413.57422695854274,IFNG;TNF
Compression of spinal cord,2/18,5.847441918510701E-4,0.0032839233814356095,0,0,55.55555555555555,413.57422695854274,TNF;SOD1
Congenital bilateral aplasia of vas deferens,2/18,5.847441918510701E-4,0.0032820479254781934,0,0,55.55555555555555,413.57422695854274,TGFB1;TNF
Coxsackievirus Infections,2/18,5.847441918510701E-4,0.0032801746104522355,0,0,55.55555555555555,413.57422695854274,IL6;TNF
Degeneration of lumbar intervertebral disc,2/18,5.847441918510701E-4,0.0032783034326938484,0,0,55.55555555555555,413.57422695854274,IL1B;HIF1A
Diabetic Neuralgia,2/18,5.847441918510701E-4,0.003276434388547501,0,0,55.55555555555555,413.57422695854274,TGFB1;TLR4
Disease due to Papilloma virus,2/18,5.847441918510701E-4,0.003274567474365992,0,0,55.55555555555555,413.57422695854274,TGFB1;TNF
Dissociative Amnesia,2/18,5.847441918510701E-4,0.0032727026865104307,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Duodenal villous atrophy,2/18,5.847441918510701E-4,0.0032708400213502086,0,0,55.55555555555555,413.57422695854274,STAT1;IL2RA
Global Amnesia,2/18,5.847441918510701E-4,0.0032689794752629787,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Hysterical amnesia,2/18,5.847441918510701E-4,0.0032671210446346315,0,0,55.55555555555555,413.57422695854274,IL6;IL2
Immunosuppression,2/18,5.847441918510701E-4,0.0032652647258592706,0,0,55.55555555555555,413.57422695854274,IL10;TLR4
Infective vaginitis,2/18,5.847441918510701E-4,0.0032634105153391915,0,0,55.55555555555555,413.57422695854274,IL6;FUT2
Pleocytosis,2/18,5.847441918510701E-4,0.003261558409484856,0,0,55.55555555555555,413.57422695854274,IL6;IL1B
Primary antiphospholipid syndrome,2/18,5.847441918510701E-4,0.00325970840471487,0,0,55.55555555555555,413.57422695854274,HLA-DRB1;IL17A
Malignant neoplasm of tongue,3/82,5.88253622315865E-4,0.003277413038616962,0,0,18.29268292682927,136.0674214498671,PRL;HIF1A;CCR4
Adverse reaction to drug,3/83,6.094699830789859E-4,0.0033936946139944894,0,0,18.072289156626503,133.78772636187645,MTHFR;HMGB1;SOD1
Drug toxicity,3/83,6.094699830789859E-4,0.003391772929615104,0,0,18.072289156626503,133.78772636187645,MTHFR;HMGB1;SOD1
Maturity onset diabetes mellitus in young,3/83,6.094699830789859E-4,0.0033898534203170762,0,0,18.072289156626503,133.78772636187645,IL6R;INS;TGM2
MRSA - Methicillin resistant Staphylococcus aureus infection,3/83,6.094699830789859E-4,0.003387936082409657,0,0,18.072289156626503,133.78772636187645,IL1B;FUT2;IL17A
Protein Deficiency,3/83,6.094699830789859E-4,0.003386020912210443,0,0,18.072289156626503,133.78772636187645,IFNG;STAT1;SOD1
Arteriovenous Malformations, Cerebral,2/19,6.527118331915355E-4,0.003624210111077068,0,0,52.63157894736842,386.01972752026137,IL6;IL1B
Research-Related Injuries,2/19,6.527118331915355E-4,0.0036221636909127106,0,0,52.63157894736842,386.01972752026137,IL6;TNF
Hand, Foot and Mouth Disease,2/19,6.527118331915355E-4,0.003620119580477658,0,0,52.63157894736842,386.01972752026137,IL6;VDR
THANATOPHORIC DYSPLASIA, TYPE I (disorder),2/19,6.527118331915355E-4,0.0036180777758637395,0,0,52.63157894736842,386.01972752026137,STAT1;TNF
Thyrotoxicosis,2/19,6.527118331915355E-4,0.0036160382731715954,0,0,52.63157894736842,386.01972752026137,IL10;MTHFR
Traumatic injury,2/19,6.527118331915355E-4,0.0036140010685106537,0,0,52.63157894736842,386.01972752026137,IL6;TNF
Wounds and Injuries,2/19,6.527118331915355E-4,0.003611966157999105,0,0,52.63157894736842,386.01972752026137,IL6;TNF
Cavitation,2/19,6.527118331915355E-4,0.0036099335377638773,0,0,52.63157894736842,386.01972752026137,TNF;HLA-DRB1
Cerebral Small Vessel Diseases,2/19,6.527118331915355E-4,0.003607903203940613,0,0,52.63157894736842,386.01972752026137,TGFB1;MTHFR
Eosinophilic leukemia,2/19,6.527118331915355E-4,0.0036058751526736425,0,0,52.63157894736842,386.01972752026137,IFNG;TNF
Gastric Cardia Carcinoma,2/19,6.527118331915355E-4,0.0036038493801159605,0,0,52.63157894736842,386.01972752026137,TLR4;IL2
Injury wounds,2/19,6.527118331915355E-4,0.0036018258824292025,0,0,52.63157894736842,386.01972752026137,IL6;TNF
Hip Dislocation, Congenital,3/85,6.533576327403233E-4,0.0036033663381436014,0,0,17.64705882352941,129.41269239052198,IL6;TGFB1;VDR
Hypogammaglobulinemia,3/85,6.533576327403233E-4,0.003601345381139595,0,0,17.64705882352941,129.41269239052198,IL21;IL10;TGFB1
Malignant neoplasm of gallbladder,4/203,7.073839063017471E-4,0.003896955734940342,0,0,9.852216748768473,71.46735992063044,MTHFR;HIF1A;TNF;TLR4
Anaplastic carcinoma,4/204,7.204968607247876E-4,0.003966970950814125,0,0,9.80392156862745,70.93695587855785,TGFB1;ETS1;HIF1A;TLR4
Brain Tumor, Primary,3/88,7.228933733743304E-4,0.003977937331199843,0,0,17.045454545454543,123.27696860327161,MTHFR;IL2;TGM2
5,10-Methylenetetrahydrofolate reductase deficiency,2/20,7.243190568082219E-4,0.003983552149026975,0,0,50.0,361.51392882265003,IL1B;MTHFR
Rift Valley Fever,2/20,7.243190568082219E-4,0.003981324211583448,0,0,50.0,361.51392882265003,IL1B;TNF
stage, gastric cancer,2/20,7.243190568082219E-4,0.003979098764846957,0,0,50.0,361.51392882265003,IL1B;TNF
Arteriosclerosis Obliterans,2/20,7.243190568082219E-4,0.003976875804643131,0,0,50.0,361.51392882265003,HMGB1;HIF1A
Autoimmune gastritis,2/20,7.243190568082219E-4,0.003974655326806927,0,0,50.0,361.51392882265003,IL2RA;HLA-DRB1
Autoimmune pancreatitis,2/20,7.243190568082219E-4,0.003972437327182592,0,0,50.0,361.51392882265003,IL10;HLA-DRB1
Corneal pannus,2/20,7.243190568082219E-4,0.003970221801623651,0,0,50.0,361.51392882265003,IL1B;TNF
Cutaneous Fibrous Histiocytoma,2/20,7.243190568082219E-4,0.0039680087459928685,0,0,50.0,361.51392882265003,TGFB1;IL1B
Eczema Herpeticum,2/20,7.243190568082219E-4,0.003965798156162231,0,0,50.0,361.51392882265003,IFNG;CD14
Filarial Elephantiases,2/20,7.243190568082219E-4,0.0039635900280129205,0,0,50.0,361.51392882265003,IL10;TLR4
Peyronie Disease,2/20,7.243190568082219E-4,0.003961384357435284,0,0,50.0,361.51392882265003,TGFB1;HIF1A
Prune Belly Syndrome,2/20,7.243190568082219E-4,0.003959181140328813,0,0,50.0,361.51392882265003,IFNG;HIF1A
Non-obstructive azoospermia,3/89,7.470773989519929E-4,0.004081309992718281,0,0,16.85393258426966,121.33722076085462,IL1B;MTHFR;HLA-DRB1
Liver Dysfunction,4/207,7.608698625146863E-4,0.004154349449330187,0,0,9.661835748792269,69.3821084371817,MTHFR;AHR;TNF;SOD1
Degenerative disorder,3/90,7.717714102118617E-4,0.0042115321596680605,0,0,16.666666666666668,119.44703587579703,IL6;IL1B;SOD1
Colorectal cancer metastatic,4/208,7.746764528126629E-4,0.004225038944640872,0,0,9.615384615384615,68.87562592328644,MTHFR;HIF1A;TNF;IL17A
Lymphadenopathy,3/91,7.969797201838036E-4,0.004344268824163296,0,0,16.483516483516485,117.60463722012365,IL6;IL2RA;HLA-DRB1
Prolactinoma,3/91,7.969797201838036E-4,0.004341860692886043,0,0,16.483516483516485,117.60463722012365,IL6;TGFB1;PRL
Anaplastic large cell lymphoma, ALK negative,2/21,7.995517676019706E-4,0.004353459707474885,0,0,47.61904761904761,339.5932989435837,IL21;CCR4
Regurgitation,2/21,7.995517676019706E-4,0.004351049153927002,0,0,47.61904761904761,339.5932989435837,TNF;HLA-DRB1
Severe diarrhea,2/21,7.995517676019706E-4,0.004348641268396329,0,0,47.61904761904761,339.5932989435837,VDR;MTHFR
Siderosis,2/21,7.995517676019706E-4,0.004346236046455844,0,0,47.61904761904761,339.5932989435837,TNF;INS
Chagas Cardiomyopathy,2/21,7.995517676019706E-4,0.004343833483688318,0,0,47.61904761904761,339.5932989435837,CXCL10;IL6
Chediak-Higashi Syndrome,2/21,7.995517676019706E-4,0.00434143357568628,0,0,47.61904761904761,339.5932989435837,IL6;TLR4
Diabetic Ketoacidosis,2/21,7.995517676019706E-4,0.004339036318051997,0,0,47.61904761904761,339.5932989435837,HLA-DRB1;INS
Herpes encephalitis,2/21,7.995517676019706E-4,0.004336641706397443,0,0,47.61904761904761,339.5932989435837,STAT1;TNF
Lumbar disc disease,2/21,7.995517676019706E-4,0.004334249736344273,0,0,47.61904761904761,339.5932989435837,VDR;HIF1A
Neonatal Systemic lupus erythematosus,2/21,7.995517676019706E-4,0.004331860403523797,0,0,47.61904761904761,339.5932989435837,TNF;HLA-DQA1
Otitis Media with Effusion,2/21,7.995517676019706E-4,0.004329473703576951,0,0,47.61904761904761,339.5932989435837,IL1B;TNF
Papillon-Lefevre Disease,2/21,7.995517676019706E-4,0.004327089632154277,0,0,47.61904761904761,339.5932989435837,IL2;SOD1
Raynaud Phenomenon,2/21,7.995517676019706E-4,0.004324708184915887,0,0,47.61904761904761,339.5932989435837,IL1B;HLA-DRB1
Premature aging syndrome,3/92,8.227066124479392E-4,0.0044475030732334135,0,0,16.304347826086957,115.808329994441,VDR;IL1B;SOD1
Growth failure,4/212,8.316811550718451E-4,0.004493547219376632,0,0,9.433962264150942,66.90623978934374,IL21;IL6;VDR;SOD1
Recurrent respiratory infections,4/213,8.463832464968848E-4,0.004570469531083178,0,0,9.389671361502348,66.4275895858453,IL21;TGFB1;STAT1;IL2RA
PARKINSON DISEASE, LATE-ONSET,3/93,8.48956340775112E-4,0.004581846741975729,0,0,16.129032258064516,114.05649673013475,IL6;TGFB1;MTHFR
Coughing,3/93,8.48956340775112E-4,0.004579332007210648,0,0,16.129032258064516,114.05649673013475,TGFB1;IL1B;HLA-DRB1
Intraepithelial Neoplasia,3/93,8.48956340775112E-4,0.004576820031342733,0,0,16.129032258064516,114.05649673013475,TGFB1;PRL;S100A9
Mucinous Adenocarcinoma,3/93,8.48956340775112E-4,0.004574310809834321,0,0,16.129032258064516,114.05649673013475,AHR;ETS1;HIF1A
Panic Disorder,3/93,8.48956340775112E-4,0.004571804338157699,0,0,16.129032258064516,114.05649673013475,IL10;HLA-DRB1;INS
Parkinsonian Disorders,4/214,8.612682384784104E-4,0.004635566400747983,0,0,9.345794392523363,65.95424821596035,PRL;TNF;HLA-DRB1;SOD1
AMYOTROPHIC LATERAL SCLEROSIS 1,3/94,8.757331296734359E-4,0.004710840283760552,0,0,15.957446808510637,112.34759297766323,TNF;SOD1;IL17A
Severe depression,2/22,8.78395909700633E-4,0.004722579321957233,0,0,45.45454545454545,319.88241562516987,IL1B;MTHFR
Lymphoma, Mixed-Cell,2/22,8.78395909700633E-4,0.004719997266559771,0,0,45.45454545454545,319.88241562516987,MTHFR;HLA-DRB1
Tuberculosis, extrapulmonary,2/22,8.78395909700633E-4,0.004717418033080776,0,0,45.45454545454545,319.88241562516987,IL10;TNF
Abnormality of the immune system,2/22,8.78395909700633E-4,0.00471484161689668,0,0,45.45454545454545,319.88241562516987,IL2;INS
Adult Rickets,2/22,8.78395909700633E-4,0.004712268013394007,0,0,45.45454545454545,319.88241562516987,TGFB1;VDR
Anti-nuclear factor positive,2/22,8.78395909700633E-4,0.0047096972179693514,0,0,45.45454545454545,319.88241562516987,IL2RA;IL12A
Cluster Headache,2/22,8.78395909700633E-4,0.004707129226029346,0,0,45.45454545454545,319.88241562516987,MTHFR;IL2
Diabetic Polyneuropathies,2/22,8.78395909700633E-4,0.004704564032990638,0,0,45.45454545454545,319.88241562516987,TGFB1;TLR4
Epidermodysplasia Verruciformis,2/22,8.78395909700633E-4,0.004702001634279859,0,0,45.45454545454545,319.88241562516987,IL10;SOD1
Gastrointestinal inflammation,2/22,8.78395909700633E-4,0.004699442025333599,0,0,45.45454545454545,319.88241562516987,VDR;IRF1
Herpes zoster disease,2/22,8.78395909700633E-4,0.004696885201598379,0,0,45.45454545454545,319.88241562516987,IL10;HLA-DRB1
Lower respiratory tract infection,2/22,8.78395909700633E-4,0.004694331158530626,0,0,45.45454545454545,319.88241562516987,IL10;IL2
Pneumoconiosis,2/22,8.78395909700633E-4,0.004691779891596642,0,0,45.45454545454545,319.88241562516987,IL6;TNF
Carcinoma,4/216,8.915919966614546E-4,0.004759677427044419,0,0,9.259259259259258,65.02316604509961,TGFB1;HIF1A;RUNX3;TLR4
Rotting teeth,3/95,9.030411744885328E-4,0.004818180598736863,0,0,15.789473684210526,110.68014328652502,TGFB1;VDR;HLA-DRB1
Agenesis,3/95,9.030411744885328E-4,0.004815566284792893,0,0,15.789473684210526,110.68014328652502,IL10;IFNG;TNF
Intermittent migraine headaches,3/95,9.030411744885328E-4,0.004812954806330424,0,0,15.789473684210526,110.68014328652502,IL10;IL12A;TLR4
synovial sarcoma,4/217,9.070333002260409E-4,0.004831611530960179,0,0,9.216589861751151,64.56526630258679,IL6;IL1B;MTHFR;TNF
Neoplasm, Residual,4/220,9.544901413225243E-4,0.005081651738308651,0,0,9.09090909090909,63.22121130438145,IL15;MTHFR;TNF;IL2
Skin Diseases, Infectious,2/23,9.608374667470638E-4,0.005112674944878258,0,0,43.47826086956522,302.0741431562353,IL15;HIF1A
Alveolitis,2/23,9.608374667470638E-4,0.005109908345882113,0,0,43.47826086956522,302.0741431562353,TNF;IL2
beta^0^ Thalassemia,2/23,9.608374667470638E-4,0.005107144739421386,0,0,43.47826086956522,302.0741431562353,IL6;TNF
Camurati-Engelmann Syndrome,2/23,9.608374667470638E-4,0.005104384120643321,0,0,43.47826086956522,302.0741431562353,TGFB1;TLR4
Capillary malformation (disorder),2/23,9.608374667470638E-4,0.0051016264847056425,0,0,43.47826086956522,302.0741431562353,STAT1;IL17A
Chronic urticaria,2/23,9.608374667470638E-4,0.005098871826776536,0,0,43.47826086956522,302.0741431562353,HLA-DRB1;IL17A
Cryptogenic Chronic Hepatitis,2/23,9.608374667470638E-4,0.005096120142034616,0,0,43.47826086956522,302.0741431562353,TGFB1;SOD1
Diffuse Mixed-Cell Lymphoma,2/23,9.608374667470638E-4,0.005093371425668901,0,0,43.47826086956522,302.0741431562353,MTHFR;HLA-DRB1
Esophageal Achalasia,2/23,9.608374667470638E-4,0.005090625672878784,0,0,43.47826086956522,302.0741431562353,TNF;HLA-DQA1
Exfoliation Syndrome,2/23,9.608374667470638E-4,0.005087882878874,0,0,43.47826086956522,302.0741431562353,MTHFR;TLR4
Functional Gastrointestinal Disorders,2/23,9.608374667470638E-4,0.005085143038874606,0,0,43.47826086956522,302.0741431562353,MTHFR;TLR4
Meningomyelocele,2/23,9.608374667470638E-4,0.005082406148110949,0,0,43.47826086956522,302.0741431562353,MTHFR;SOD1
Multi-infarct dementia,2/23,9.608374667470638E-4,0.005079672201823638,0,0,43.47826086956522,302.0741431562353,IL6;IL1B
Status Epilepticus,4/221,9.706909649038684E-4,0.005129005808104956,0,0,9.049773755656108,62.78282719551607,IL1B;TNF;S100A9;TLR4
Myelofibrosis,3/98,9.881943586653454E-4,0.00521868573721817,0,0,15.306122448979592,105.91272184080921,TGFB1;IFNG;IL1B
Nephrolithiasis,3/99,0.0010176687967361172,0.005371454851945521,0,0,15.151515151515152,104.39758728497266,IL6;VDR;IL1B
Secondary hypothyroidism,2/24,0.0010468624608583276,0.005522578779020743,0,0,41.666666666666664,285.9149050295893,PRL;TNF
Severe combined immunodeficiency due to adenosine deaminase deficiency,2/24,0.0010468624608583276,0.005519616022165045,0,0,41.666666666666664,285.9149050295893,DPP4;TLR4
Lymphoma, Undifferentiated,2/24,0.0010468624608583276,0.005516656442528496,0,0,41.666666666666664,285.9149050295893,MTHFR;HLA-DRB1
Acute Lung Injury,2/24,0.0010468624608583276,0.005513700035003025,0,0,41.666666666666664,285.9149050295893,TGFB1;IL1B
Candidemia,2/24,0.0010468624608583276,0.005510746794491508,0,0,41.666666666666664,285.9149050295893,IL10;TLR4
Congenital hypoplasia of adrenal gland,2/24,0.0010468624608583276,0.005507796715907732,0,0,41.666666666666664,285.9149050295893,CXCL10;IFNG
Dupuytren's Disease,2/24,0.0010468624608583276,0.005504849794176375,0,0,41.666666666666664,285.9149050295893,TGFB1;HLA-DRB1
Elastosis perforans serpiginosa,2/24,0.0010468624608583276,0.005501906024232965,0,0,41.666666666666664,285.9149050295893,TGFB1;TLR4
Eosinophilic granulomatosis with polyangiitis,2/24,0.0010468624608583276,0.0054989654010238614,0,0,41.666666666666664,285.9149050295893,IL10;HLA-DRB1
Familial primary pulmonary hypertension,2/24,0.0010468624608583276,0.00549602791950622,0,0,41.666666666666664,285.9149050295893,IL6;TGFB1
Healing ulcer,2/24,0.0010468624608583276,0.005493093574647968,0,0,41.666666666666664,285.9149050295893,TGFB1;IL1B
Heart Block,2/24,0.0010468624608583276,0.005490162361427772,0,0,41.666666666666664,285.9149050295893,TGFB1;TNF
Paroxysmal nonkinesigenic dyskinesia,2/24,0.0010468624608583276,0.00548723427483501,0,0,41.666666666666664,285.9149050295893,HMGB1;HIF1A
Penis carcinoma,2/24,0.0010468624608583276,0.005484309309869747,0,0,41.666666666666664,285.9149050295893,RUNX3;TLR4
POLYCYSTIC KIDNEY DISEASE 1,2/24,0.0010468624608583276,0.005481387461542698,0,0,41.666666666666664,285.9149050295893,IL6;TNF
Oral Cavity Carcinoma,3/100,0.0010476950310726527,0.005482825753664553,0,0,15.0,102.917441044757,IL6;TGFB1;TNF
Single Seizure,3/101,0.0010782770834010882,0.005639865447400689,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Sleep disturbances,3/101,0.0010782770834010882,0.005636865518971221,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;AHR
Seizures, Auditory,3/101,0.0010782770834010882,0.005633868780258317,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Seizures, Clonic,3/101,0.0010782770834010882,0.005630875226177415,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Seizures, Sensory,3/101,0.0010782770834010882,0.005627884851654751,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Seizures, Somatosensory,3/101,0.0010782770834010882,0.005624897651627333,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Vertiginous seizure,3/101,0.0010782770834010882,0.005621913621042915,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Atonic Absence Seizures,3/101,0.0010782770834010882,0.005618932754859965,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Generalized Absence Seizures,3/101,0.0010782770834010882,0.005615955048047639,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Gustatory seizure,3/101,0.0010782770834010882,0.00561298049558575,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Hemangioma,3/101,0.0010782770834010882,0.005610009092464741,0,0,14.85148514851485,101.47115056675547,TGFB1;CD14;HIF1A
Jacksonian Seizure,3/101,0.0010782770834010882,0.0056070408336856585,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Non-epileptic convulsion,3/101,0.0010782770834010882,0.005604075714260124,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Nonepileptic Seizures,3/101,0.0010782770834010882,0.005601113729210304,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Olfactory seizure,3/101,0.0010782770834010882,0.005598154873568882,0,0,14.85148514851485,101.47115056675547,IL6;IL1B;INS
Childhood Acute Myeloid Leukemia,3/102,0.0011094189470398966,0.00575679483184166,0,0,14.705882352941176,100.05763046841133,IL6;RUNX3;TLR4
Ductal Carcinoma,4/230,0.0011253383907705624,0.005836319632977883,0,0,8.695652173913043,59.040621710943306,PRL;HIF1A;RUNX3;S100A9
T-Cell Large Granular Lymphocyte Leukemia,2/25,0.0011364569536468786,0.005890874968587301,0,0,40.0,271.1935916653839,IL15;IL2
Temporomandibular Joint Disorders,2/25,0.0011364569536468786,0.005887769604871651,0,0,40.0,271.1935916653839,IL6;TGFB1
Type II Mucolipidosis,2/25,0.0011364569536468786,0.005884667513404385,0,0,40.0,271.1935916653839,IL6;TNF
Diabetic foot ulcer,2/25,0.0011364569536468786,0.005881568689016073,0,0,40.0,271.1935916653839,HIF1A;TLR4
Lupus anticoagulant disorder,2/25,0.0011364569536468786,0.005878473126548169,0,0,40.0,271.1935916653839,MTHFR;HLA-DRB1
Quadriplegia,2/25,0.0011364569536468786,0.005875380820852984,0,0,40.0,271.1935916653839,MTHFR;TNF
Epileptic Seizures,3/103,0.001141124586940991,0.0058964103262124385,0,0,14.563106796116505,98.67584014156816,IL6;IL1B;INS
Tonic Seizures,3/104,0.0011733979394470786,0.00605998683598838,0,0,14.423076923076923,97.32478150279816,IL6;IL1B;INS
Chronic myeloproliferative disorder,4/233,0.0011805226920143335,0.006093580366132809,0,0,8.583690987124463,57.869510551484176,CXCL10;TGFB1;TNF;RUNX3
Tuberculosis, Meningeal,2/26,0.0012296070457520425,0.006343610522651482,0,0,38.46153846153846,257.7331013707369,IFNG;TNF
Tick-Borne Encephalitis,2/26,0.0012296070457520425,0.006340282290478004,0,0,38.46153846153846,257.7331013707369,IL10;IL2
Zinc deficiency,2/26,0.0012296070457520425,0.006336957548846919,0,0,38.46153846153846,257.7331013707369,IL6;SOD1
Drug Eruptions,2/26,0.0012296070457520425,0.006333636292269955,0,0,38.46153846153846,257.7331013707369,IFNG;MTHFR
MUTYH-Associate Polyposis,2/26,0.0012296070457520425,0.006330318515270337,0,0,38.46153846153846,257.7331013707369,IL10;TNF
Undifferentiated carcinoma,4/237,0.0012570240185159505,0.006468079609410871,0,0,8.438818565400844,56.36293874892446,IL10;TGFB1;HIF1A;TLR4
Retinitis Pigmentosa,5/410,0.0012879295533312835,0.006623637702846601,0,0,6.097560975609756,40.57755699642896,IFNG;IL1B;TLR4;INS;SOD1
Secondary Neoplasm,3/108,0.0013082462226310636,0.006724604537666367,0,0,13.888888888888888,92.20927500084726,IL6;TNF;IL6R
Respiratory Distress Syndrome,2/27,0.0013262988762919497,0.006813834477886712,0,0,37.03703703703703,245.38381539683732,IL10;IL6
Chronic Infantile Neurological, Cutaneous, and Articular Syndrome,2/27,0.0013262988762919497,0.006810274480771829,0,0,37.03703703703703,245.38381539683732,IL1B;CD14
Skin toxicity,2/27,0.0013262988762919497,0.006806718201669598,0,0,37.03703703703703,245.38381539683732,TGFB1;MTHFR
stage, neuroblastoma,2/27,0.0013262988762919497,0.006803165634758497,0,0,37.03703703703703,245.38381539683732,IFNG;STAT1
Benign neoplasm of breast,2/27,0.0013262988762919497,0.00679961677422915,0,0,37.03703703703703,245.38381539683732,TGFB1;PRL
Cervical dysplasia,2/27,0.0013262988762919497,0.006796071614284297,0,0,37.03703703703703,245.38381539683732,IL10;MTHFR
Corneal Diseases,2/27,0.0013262988762919497,0.00679253014913876,0,0,37.03703703703703,245.38381539683732,TGFB1;IL17A
Extramedullary Hematopoiesis (disorder),2/27,0.0013262988762919497,0.006788992373019417,0,0,37.03703703703703,245.38381539683732,IL6;TNF
Gastroenteritis,2/27,0.0013262988762919497,0.006785458280165165,0,0,37.03703703703703,245.38381539683732,IFNG;FUT2
Idiopathic Interstitial Pneumonias,2/27,0.0013262988762919497,0.006781927864826889,0,0,37.03703703703703,245.38381539683732,TGFB1;IFNG
Leg Ulcer,2/27,0.0013262988762919497,0.006778401121267437,0,0,37.03703703703703,245.38381539683732,IL6;IL1B
Mumps,2/27,0.0013262988762919497,0.006774878043761581,0,0,37.03703703703703,245.38381539683732,IL6;STAT1
Primary Malignant Liver Neoplasm,2/27,0.0013262988762919497,0.00677135862659599,0,0,37.03703703703703,245.38381539683732,IL6;MTHFR
Convulsive Seizures,3/109,0.0013434162038973147,0.0068551892273638676,0,0,13.761467889908257,90.99825004607726,IL6;IL1B;INS
Oligospermia,3/109,0.0013434162038973147,0.0068516317861457236,0,0,13.761467889908257,90.99825004607726,MTHFR;TNF;IL2
Deep Vein Thrombosis,3/110,0.0013791769289365897,0.007030368702068882,0,0,13.636363636363635,89.81275071891761,IL6;MTHFR;IL17A
Hydronephrosis,3/111,0.0014155321394573206,0.00721194912731288,0,0,13.513513513513514,88.6520236256187,TGFB1;IL1B;AHR
Multiple Endocrine Neoplasia Type 1,3/111,0.0014155321394573206,0.007208212366107019,0,0,13.513513513513514,88.6520236256187,VDR;PRL;INS
Seborrheic keratosis,2/28,0.0014265186232744749,0.007260396183087281,0,0,35.71428571428571,234.0185118633476,TNF;IL2
Lymphoma, Small Noncleaved-Cell,2/28,0.0014265186232744749,0.007256638214048416,0,0,35.71428571428571,234.0185118633476,MTHFR;HLA-DRB1
Tumor Expansion,2/28,0.0014265186232744749,0.007252884133234112,0,0,35.71428571428571,234.0185118633476,IL6;HIF1A
